id,name,desc,type,user,icon,model,getWay,getWayParam,time,openTime,quality,attribute,dragonEnergyLimit,skill,canProduct,productNeedItem,needEquipQuelity,awardWeight,successRate,increaseSuccessRate,reimburse,sell,taskDrawingGetWay,drawingID,drawingGetWayDesc,sequence
27100,dragonskin_27100,dragonskin_desc_27100,1,Petdragon,dragonskin_27100,Prefab/Art/Character/Petdragon.prefab,0,,,,0,0,[],[],0,[],[],,100,0,[],[],,,,0
27200,cynthiaskin_27200,cynthiaskin_desc_27200,2,Femaleplayer,cynthiaskin_27200,Prefab/Art/Character/Femaleplayer.prefab,0,,,,0,0,[],[],0,[],[],,100,0,[],[],,,,27200
27201,cynthiaskin_27201,cynthiaskin_desc_27201,2,Femaleplayer,cynthiaskin_27201,Prefab/Art/Character/Femaleplayer_christmas.prefab,1,,,2023-12-11 19:05:00,0,0,[],[],0,[],[],,100,0,[],[],,,,27201
27202,cynthiaskin_27202,cynthiaskin_desc_27202,2,Femaleplayer,cynthiaskin_27202,Prefab/Art/Character/cynthiaskin_27202.prefab,1,,,2022-3-1 19:00:00,0,0,[],[],0,[],[],,100,0,[],[],,,,27202
27203,cynthiaskin_27203,cynthiaskin_desc_27203,2,Femaleplayer,cynthiaskin_27203,Prefab/Art/Character/Femaleplayer_Bunny_Girl.prefab,1,,,2023-3-22 19:00:00,0,0,[],[],0,[],[],,100,0,[],[],,,,27203
27204,cynthiaskin_27204,cynthiaskin_desc_27204,2,Femaleplayer,cynthiaskin_27204,Prefab/Art/Character/cynthiaskin_27202.prefab,1,,,2031-12-20 19:00:01,0,0,[],[],0,[],[],,100,0,[],[],,,,27204
27205,cynthiaskin_27205,cynthiaskin_desc_27205,2,Femaleplayer,cynthiaskin_27205,Prefab/Art/Character/cynthiaskin_27202.prefab,1,,,2031-12-20 19:00:02,0,0,[],[],0,[],[],,100,0,[],[],,,,27205
27206,cynthiaskin_27206,cynthiaskin_desc_27206,2,Femaleplayer,cynthiaskin_27206,Prefab/Art/Character/Femaleplayer_youthmovement.prefab,1,,,2022-3-22 19:00:00,0,0,[],[],0,[],[],,100,0,[],[],,,,27206
27207,cynthiaskin_27207,cynthiaskin_desc_27207,2,Femaleplayer,cynthiaskin_27207,Prefab/Art/Character/cynthiaskin_27207.prefab,1,,,2023-4-19 19:05:00,0,0,[],[],0,[],[],,100,0,[],[],,,,27207
27208,cynthiaskin_27208,cynthiaskin_desc_27208,2,Femaleplayer,cynthiaskin_27208,Prefab/Art/Character/cynthiaskin_27202.prefab,1,,,2031-12-20 19:00:05,0,0,[],[],0,[],[],,100,0,[],[],,,,27208
27209,cynthiaskin_27209,cynthiaskin_desc_27209,2,Femaleplayer,cynthiaskin_27209,Prefab/Art/Character/cynthiaskin_27202.prefab,1,,,2031-12-20 19:00:06,0,0,[],[],0,[],[],,100,0,[],[],,,,27209
27210,cynthiaskin_27210,cynthiaskin_desc_27210,2,Femaleplayer,cynthiaskin_27210,Prefab/Art/Character/cynthiaskin_27210.prefab,1,,,2023-7-4 19:05:00,0,0,[],[],0,[],[],,100,0,[],[],,,,27210
27211,cynthiaskin_27211,cynthiaskin_desc_27211,2,Femaleplayer,cynthiaskin_27211,Prefab/Art/Character/cynthiaskin_27202.prefab,1,,,2031-12-20 19:00:08,0,0,[],[],0,[],[],,100,0,[],[],,,,27211
27212,cynthiaskin_27212,cynthiaskin_desc_27212,2,Femaleplayer,cynthiaskin_27212,Prefab/Art/Character/cynthiaskin_27212.prefab,1,,,2023-6-14 19:05:00,0,0,[],[],0,[],[],,100,0,[],[],,,,27212
27213,cynthiaskin_27213,cynthiaskin_desc_27213,2,Femaleplayer,cynthiaskin_27213,Prefab/Art/Character/cynthiaskin_27202.prefab,1,,,2031-12-20 19:00:10,0,0,[],[],0,[],[],,100,0,[],[],,,,27213
