id,buildingId,buildingLevel,needLevel,needDragon,needStamina,needPve,upgradeCost,energyReward,goldReward,itemReward,minTimeGet,maxTimeGet,levelUpReward
101,300085,1,-1,[],-1,1,[],"[1003,1,900]","[1002,5,300]","[7001,900]",300,3600,[]
102,300085,2,8,[101005],-1,3,[],"[1003,1,900]","[1002,6,300]","[7001,900]",300,3600,"[[1003,10]]"
103,300085,3,-1,[102005],10,4,[],"[1003,1,900]","[1002,7,300]","[7001,900]",300,3600,"[[1003,10]]"
104,300085,4,9,[103005],40,6,[],"[1003,1,900]","[1002,8,300]","[7001,900]",300,3600,"[[1003,10]]"
105,300085,5,-1,[104005],45,9,[],"[1003,1,900]","[1002,9,300]","[7001,900]",300,3600,"[[1003,10]]"
106,300085,6,-1,[110005],50,10,[],"[1003,1,900]","[1002,10,300]","[7001,900]",300,3600,"[[1003,10]]"
107,300085,7,10,[101010],60,14,[],"[1003,2,900]","[1002,11,300]","[7001,900]",300,3600,"[[1003,10]]"
108,300085,8,11,[111005],90,17,[],"[1003,2,900]","[1002,12,300]","[7001,900]",300,3600,"[[1003,10]]"
109,300085,9,-1,[105010],95,20,[],"[1003,2,900]","[1002,13,300]","[7001,900]",300,3600,"[[1003,10]]"
110,300085,10,-1,[103010],100,23,[],"[1003,2,900]","[1002,14,300]","[7001,900]",300,3600,"[[1003,10]]"
111,300085,11,12,[206005],110,27,[],"[1003,3,1200]","[1002,15,300]","[7001,900]",300,4800,"[[1003,10]]"
112,300085,12,-1,[108010],120,30,[],"[1003,3,1200]","[1002,16,300]","[7001,900]",300,4800,"[[1003,10]]"
113,300085,13,13,[109010],150,35,[],"[1003,3,1200]","[1002,17,300]","[7001,900]",300,4800,"[[1003,10]]"
114,300085,14,-1,[101014],160,40,[],"[1003,3,1200]","[1002,18,300]","[7001,900]",300,4800,"[[1003,10]]"
115,300085,15,15,[107010],200,45,[],"[1003,3,1200]","[1002,19,300]","[7001,900]",300,4800,"[[1003,10]]"
116,300085,16,-1,[201010],220,50,[],"[1003,3,1200]","[1002,20,300]","[7001,900]",300,4800,"[[1003,10]]"
117,300085,17,16,[106015],250,55,[],"[1003,3,1200]","[1002,21,300]","[7001,900]",300,4800,"[[1003,10]]"
118,300085,18,-1,[204010],270,60,[],"[1003,3,1200]","[1002,22,300]","[7001,900]",300,4800,"[[1003,10]]"
119,300085,19,17,[102015],300,65,[],"[1003,3,1200]","[1002,23,300]","[7001,900]",300,4800,"[[1003,10]]"
120,300085,20,-1,[207010],330,70,[],"[1003,3,1200]","[1002,24,300]","[7001,900]",300,4800,"[[1003,10]]"
121,300085,21,18,[113015],360,75,[],"[1003,4,1500]","[1002,25,300]","[7001,900]",300,6000,"[[1003,10]]"
122,300085,22,-1,[112015],390,80,[],"[1003,4,1500]","[1002,26,300]","[7001,900]",300,6000,"[[1003,10]]"
123,300085,23,19,[114015],410,85,[],"[1003,5,1500]","[1002,27,300]","[7001,900]",300,6000,"[[1003,10]]"
124,300085,24,-1,[202010],430,90,[],"[1003,5,1500]","[1002,28,300]","[7001,900]",300,6000,"[[1003,10]]"
125,300085,25,20,[110015],460,95,[],"[1003,5,1500]","[1002,29,300]","[7001,900]",300,6000,"[[1003,10]]"
126,300085,26,-1,[203010],490,100,[],"[1003,5,1500]","[1002,30,300]","[7001,900]",300,7200,"[[1003,10]]"
127,300085,27,21,[115015],520,110,[],"[1003,5,1500]","[1002,31,301]","[7001,900]",300,7200,"[[1003,10]]"
128,300085,28,-1,[210010],550,120,[],"[1003,5,1500]","[1002,32,301]","[7001,900]",300,7200,"[[1003,10]]"
129,300085,29,22,[116015],600,130,[],"[1003,5,1500]","[1002,33,301]","[7001,900]",300,7200,"[[1003,10]]"
130,300085,30,-1,[206010],640,140,[],"[1003,5,1500]","[1002,34,302]","[7001,900]",300,7200,"[[1003,10]]"
131,300085,31,23,[117015],680,150,[],"[1003,7,1800]","[1002,35,302]","[7001,900]",300,9000,"[[1003,10]]"
132,300085,32,-1,[208010],720,160,[],"[1003,7,1800]","[1002,36,302]","[7001,900]",300,9000,"[[1003,10]]"
133,300085,33,24,[118015],760,170,[],"[1003,7,1800]","[1002,37,303]","[7001,900]",300,9000,"[[1003,10]]"
134,300085,34,25,[209010],800,175,[],"[1003,7,1800]","[1002,38,303]","[7001,900]",300,9000,"[[1003,10]]"
135,300085,35,-1,[119015],850,-1,[],"[1003,7,1800]","[1002,39,303]","[7001,900]",300,9000,"[[1003,10]]"
