id,101,102,103,104,110,111,105,108,109,107,106,112,113,114,115,116,117,118,119,120,206,207,201,203,202,208,209,210
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,4,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,6,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,6,6,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,10,8,8,5,2,2,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,10,10,8,5,3,3,3,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,11,11,11,9,6,3,3,5,5,5,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1
14,16,13,13,10,7,7,4,5,5,5,5,1,1,1,1,1,1,1,1,1,4,1,1,3,1,1,1,1
15,19,19,16,16,12,9,9,5,5,5,5,5,1,1,1,1,1,1,1,1,5,3,1,5,1,1,3,1
16,21,21,21,17,13,13,9,9,5,5,5,5,5,1,1,1,1,1,1,1,8,5,1,5,3,1,5,1
17,22,22,22,18,18,14,14,10,10,5,5,5,5,5,1,1,1,1,1,1,8,5,1,9,5,1,5,1
18,27,23,23,23,19,19,14,14,10,10,6,6,6,6,5,1,1,1,1,1,8,8,1,9,6,1,9,1
19,28,28,24,24,19,19,19,15,15,11,11,6,6,6,6,5,1,1,1,1,12,9,1,10,9,3,9,1
20,31,31,31,27,27,21,21,21,17,17,12,12,8,8,8,7,5,1,1,1,12,9,3,14,10,5,10,1
21,32,32,32,28,28,28,23,23,23,17,17,13,13,8,8,8,7,5,1,1,13,13,5,14,10,6,14,3
22,33,33,33,33,29,29,29,24,24,24,18,18,13,13,9,8,8,7,1,1,13,13,5,14,14,10,14,3
23,35,35,35,35,30,30,30,30,25,25,25,19,19,14,14,9,8,8,1,1,13,13,9,15,15,10,14,5
24,36,36,36,36,36,31,31,31,31,26,26,26,20,20,15,14,9,8,5,1,17,14,9,15,15,10,15,6
25,37,37,37,37,37,37,32,32,32,32,27,27,27,22,22,15,14,9,7,5,18,14,9,20,15,14,15,10
26,40,40,40,40,40,40,40,33,33,33,33,28,28,28,23,22,15,14,8,7,18,18,13,20,16,15,20,10
27,41,41,41,41,41,41,41,41,36,36,36,36,29,29,29,23,22,15,8,8,19,19,13,21,20,15,20,10
28,43,43,43,43,43,43,43,43,43,37,37,37,37,30,30,30,23,22,9,8,19,19,14,21,21,16,21,14
29,46,46,46,46,46,46,46,46,46,46,39,39,39,39,33,32,30,23,14,9,20,19,14,22,22,16,21,15
30,47,47,47,47,47,47,47,47,47,47,47,40,40,40,40,34,32,30,15,14,20,20,15,22,22,21,22,15
31,47,47,47,47,47,47,47,47,47,47,47,47,41,41,41,41,34,32,22,15,25,20,19,23,23,21,22,16
32,47,47,47,47,47,47,47,47,47,47,47,47,47,41,41,41,41,34,23,22,25,21,19,28,23,22,23,16
33,48,48,48,48,48,48,48,48,48,48,48,48,48,48,41,41,41,41,30,23,26,26,20,29,24,22,28,21
34,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,41,41,41,32,30,27,26,20,30,29,23,29,21
35,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,41,41,34,32,27,27,21,30,30,24,30,22
36,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,41,41,34,28,28,21,31,31,24,30,22
37,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,41,41,29,28,22,32,32,30,31,23
38,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,48,48,41,41,29,29,27,33,33,31,32,24
39,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,48,41,41,30,30,28,34,34,32,33,24
40,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,48,41,31,31,28,35,35,32,34,30
41,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,48,48,32,31,29,36,36,33,35,31
