id,exchangeNormalNeed,exchangeNormalReward,exchangeSpecialNeed,exchangeSpecialReward,exchangeSpecialBox,exchangeComplete,exchangeSpecialTime,exchangeUnlimitedNeed
,exchangeUnlimitedReward,
600101,"[[8001,3],[8002,4],[8003,5],[8004,6]]","[[1002,150],[1002,400],[1002,500],[1002,900]]","[8005,5]","[1002,1000]","[[7001,10],[7004,3]]","[[16000,2],[10004,3],[1001,1]]",180000,[],[],
600201,"[[8001,7],[8002,8],[8003,11],[8007,10]]","[[1002,350],[1002,800],[1002,1100],[1002,1500]]","[8008,8]","[1002,1600]","[[7001,10],[7004,3]]","[[13001,2],[10004,3],[1001,1]]",180000,[],[],
600301,"[[8004,7],[8005,9],[8006,9],[8007,10]]","[[1002,350],[1002,900],[1002,900],[1002,1500]]","[8008,8]","[1002,1600]","[[7001,10],[7004,3]]","[[13001,2],[10004,3],[1001,1]]",180000,[],[],
600401,"[[8006,6],[8007,7],[8008,8],[8004,9]]","[[1002,300],[1002,700],[1002,800],[1002,1350]]","[8005,7]","[1002,1400]","[[7001,10],[7004,3]]","[[16000,2],[10004,3],[1001,1]]",180000,[],[],
600402,"[[8001,3],[8002,4],[8003,5],[8004,6]]","[[1002,150],[1002,400],[1002,500],[1002,900]]","[8005,5]","[1002,1000]","[[7001,10],[7003,10],[7004,3]]","[[16000,2],[10004,3],[1001,1]]",180000,[],[],
600501,"[[8004,7],[8005,14],[8006,9],[8007,10]]","[[1002,350],[1002,1400],[1002,900],[1002,1500]]","[8008,3]","[1002,600]","[[7001,10],[7004,3]]","[[13001,2],[10004,3],[1001,1]]",180000,[],[],
600601,"[[8001,3],[8002,4],[8003,5],[8004,6]]","[[1002,150],[1002,400],[1002,500],[1002,900]]","[8005,5]","[1002,1000]","[[7001,10],[7003,10],[7004,3]]","[[16000,2],[10004,3],[1001,1]]",180000,[],[],
600701,"[[8004,7],[8005,9],[8006,9],[8007,10]]","[[1002,350],[1002,900],[1002,900],[1002,1500]]","[8008,8]","[1002,1600]","[[7001,10],[7003,10],[7004,3]]","[[13001,2],[10004,3],[1001,1]]",180000,[],[],
600801,"[[8001,7],[8002,8],[8003,11],[8004,10]]","[[1002,350],[1002,800],[1002,1100],[1002,1500]]","[8005,8]","[1002,1600]","[[7001,10],[7003,10],[7004,3]]","[[13001,2],[10004,3],[1001,1]]",180000,[],[],
600901,"[[8001,7],[8002,8],[8003,11],[8004,10]]","[[1002,350],[1002,800],[1002,1100],[1002,2400]]","[8005,8]","[1002,2400]","[[7001,10],[7003,10],[7004,3]]","[[13001,2],[10004,3],[1001,1]]",180000,[],[],
601001,"[[8001,7],[8002,8],[8003,11],[8004,10]]","[[1002,350],[1002,800],[1002,1100],[1002,1500]]","[8005,8]","[1002,1600]","[[7001,10],[7003,10],[7004,3]]","[[13001,2],[10004,3],[1001,1]]",180000,[],[],
601101,"[[8001,3],[8002,4],[8003,5],[8004,6]]","[[1002,150],[1002,400],[1002,500],[1002,900]]","[8005,5]","[1002,1000]","[[7001,10],[7003,10],[7004,3]]","[[16000,2],[10004,3],[1001,1]]",180000,[],[],
601201,"[[8004,7],[8005,9],[8006,9],[8007,10]]","[[1002,350],[1002,900],[1002,900],[1002,1500]]","[8008,8]","[1002,1600]","[[7001,10],[7003,10],[7004,3]]","[[13001,2],[10004,3],[1001,1]]",180000,[],[],
601301,"[[8001,7],[8002,8],[8003,11],[8004,10]]","[[1002,350],[1002,800],[1002,1100],[1002,1500]]","[8005,8]","[1002,1600]","[[7001,10],[7003,10],[7004,3]]","[[13001,2],[10004,3],[1001,1]]",180000,[],[],
601401,"[[8001,7],[8002,8],[8003,11],[8004,10]]","[[1002,350],[1002,800],[1002,1100],[1002,1500]]","[8005,8]","[1002,1600]","[[7001,10],[7003,10],[7004,3]]","[[13001,2],[10004,3],[1001,1]]",180000,[],[],
601501,"[[8004,7],[8005,14],[8006,9],[8007,10]]","[[1002,350],[1002,1400],[1002,900],[1002,1500]]","[8008,3]","[1002,600]","[[7001,10],[7003,10],[7004,3]]","[[13001,2],[10004,3],[1001,1]]",180000,[],[],
601601,"[[8001,3],[8002,4],[8003,5],[8004,6]]","[[1002,150],[1002,400],[1002,500],[1002,900]]","[8005,5]","[1002,1000]","[[7001,10],[7003,10],[7004,3]]","[[16000,2],[10004,3],[1001,1]]",180000,[],[],
601701,"[[8004,7],[8005,9],[8006,9],[8007,10]]","[[1002,350],[1002,900],[1002,900],[1002,1500]]","[8008,8]","[1002,1600]","[[7001,10],[7003,10],[7004,3]]","[[13001,2],[10004,3],[1001,1]]",180000,[],[],
