id,teamHelpItemNum,teamHelpReward,teamHelpUnlockLevel
2001,10,"[1002,5]",1
2002,5,"[1002,20]",1
2003,10,"[1002,10]",1
2004,10,"[1002,10]",1
2005,5,"[1002,30]",1
2006,8,"[1002,35]",10
2007,5,"[1002,70]",10
2008,2,"[1002,140]",10
5001,10,"[1002,5]",0
5002,10,"[1002,10]",0
5005,10,"[1002,15]",0
5006,10,"[1002,15]",0
5007,5,"[1002,30]",0
5008,10,"[1002,15]",0
5009,10,"[1002,5]",0
5011,10,"[1002,20]",0
5012,5,"[1002,30]",0
5013,5,"[1002,50]",0
5014,5,"[1002,70]",0
5016,10,"[1002,5]",0
5018,10,"[1002,5]",0
3001,5,"[1002,40]",0
3002,5,"[1002,40]",0
3003,5,"[1002,40]",0
3004,5,"[1002,100]",0
3005,5,"[1002,140]",0
3006,5,"[1002,140]",0
3007,5,"[1002,40]",0
3008,5,"[1002,40]",0
3009,5,"[1002,150]",0
3010,5,"[1002,150]",0
3011,3,"[1002,250]",0
3012,3,"[1002,350]",0
3013,3,"[1002,70]",0
3014,3,"[1002,70]",0
3015,3,"[1002,56]",0
3016,3,"[1002,406]",0
3017,3,"[1002,385]",0
3018,2,"[1002,532]",0
3020,2,"[1002,420]",0
3021,2,"[1002,350]",0
3023,2,"[1002,245]",0
3024,1,"[1002,245]",0
3028,1,"[1002,560]",0
3029,1,"[1002,910]",0
3031,1,"[1002,210]",0
3035,1,"[1002,371]",0
3041,1,"[1002,616]",0
3042,1,"[1002,371]",0
